variable,n_missing,pct_missing
Unnamed: 30,575,100.0
Unnamed: 31,575,100.0
"¿Qué recomendaciones haría para garantizar un uso responsable y transparente de la inteligencia artificial en campañas políticas digitales en Ecuador, considerando la experiencia de la campaña entre Luisa González y Daniel Noboa?",4,0.7
genero,0,0.0
Marca temporal,0,0.0
edad,0,0.0
¿Con qué frecuencia utiliza redes sociales?,0,0.0
¿A través de qué dispositivos accede principalmente a Internet?,0,0.0
"Durante la campaña presidencial entre Luisa González y Daniel Noboa, ¿con qué frecuencia vio o recibió contenido político en redes sociales o plataformas digitales?",0,0.0
¿Qué tipo de interacción tuvo con el contenido político digital relacionado a la campaña Noboa vs. González?,0,0.0
conoce_ia,0,0.0
rol_uce,0,0.0
¿A qué facultad o unidad académica pertenece?,0,0.0
reside_quito,0,0.0
"¿Vio alguna vez un video, imagen, audio o noticia política de la campaña entre Luisa González y Daniel Noboa que le pareció “falso”, “manipulado” o generado con IA?",0,0.0
identifica_ia,0,0.0
percibe_automatizacion,0,0.0
Percepción sobre el uso de IA en campañas políticas [El uso de inteligencia artificial en campañas políticas digitales mejora la comunicación entre partidos y ciudadanos.],0,0.0
Percepción sobre el uso de IA en campañas políticas [La existencia de deepfakes o contenido manipulado me hace desconfiar más de las campañas políticas digitales.],0,0.0
Percepción sobre el uso de IA en campañas políticas [Considero que el uso de inteligencia artificial en campañas políticas debería estar regulado por la ley.],0,0.0
Percepción sobre el uso de IA en campañas políticas [La presencia de bots o cuentas falsas en redes sociales reduce mi confianza en la información política digital.],0,0.0
Percepción sobre el uso de IA en campañas políticas [Los partidos pueden manipular mi opinión mediante mensajes personalizados creados con IA.],0,0.0
confianza_fraude,0,0.0
¿Por quién votó en la segunda vuelta presidencial de 2025?,0,0.0
"¿Ha cambiado su confianza en el proceso electoral al saber que existen bots, deepfakes o manipulación mediante IA?",0,0.0
¿Considera que el uso de IA en campañas digitales influyó en su decisión de voto en las elecciones presidenciales de 2025?,0,0.0
"¿Realiza alguna verificación (chequea fuentes, busca noticias, consulta otras personas) de la información política digital antes de compartirla?",0,0.0
"¿Conoce alguna medida, ley o regulación sobre el uso de IA en campañas políticas en Ecuador?",0,0.0
confianza_limpieza,0,0.0
Percepción sobre el uso de IA en campañas políticas [La inteligencia artificial puede mejorar la transparencia del proceso electoral.],0,0.0
¿Participó activamente en redes sociales o medios digitales durantes las ultimas elecciones presidenciales de 2025?,0,0.0
¿Cree que debería regularse el uso de IA en campañas políticas digitales en el país?,0,0.0
limpieza_num,0,0.0
fraude_num,0,0.0
fraude_rev,0,0.0
confianza_idx,0,0.0
confianza_idx_round,0,0.0
confianza_3,0,0.0
Percepción sobre el uso de IA en campañas políticas [El uso de inteligencia artificial en campañas políticas digitales mejora la comunicación entre partidos y ciudadanos.]_num,0,0.0
Percepción sobre el uso de IA en campañas políticas [Los partidos pueden manipular mi opinión mediante mensajes personalizados creados con IA.]_num,0,0.0
Percepción sobre el uso de IA en campañas políticas [La presencia de bots o cuentas falsas en redes sociales reduce mi confianza en la información política digital.]_num,0,0.0
Percepción sobre el uso de IA en campañas políticas [La inteligencia artificial puede mejorar la transparencia del proceso electoral.]_num,0,0.0
Percepción sobre el uso de IA en campañas políticas [La existencia de deepfakes o contenido manipulado me hace desconfiar más de las campañas políticas digitales.]_num,0,0.0
Percepción sobre el uso de IA en campañas políticas [Considero que el uso de inteligencia artificial en campañas políticas debería estar regulado por la ley.]_num,0,0.0
longitud_recomendacion,0,0.0
palabras_recomendacion,0,0.0
